BHG1020;Moto;11/08/2022;17:56;11/08/2022;17:56;0;0
WWW0004;Caminhonete;20/06/2022;22:14;20/06/2022;22:15;1;5
WWW0001;Carro;20/06/2022;17:55;20/06/2022;17:56;1;5
WWW0004;Carro;20/06/2022;17:25;20/06/2022;17:26;1;5
WWW0001;Moto;19/06/2022;12:30;19/06/2022;12:30;0;0
WWW1234;Caminhonete;18/06/2022;22:52;18/06/2022;22:53;1;5
WWW0000;Carro;18/06/2022;22:09;18/06/2022;22:10;1;5
WWW2020;Caminhonete;18/06/2022;21:58;18/06/2022;22:09;11;5
WWW1818;Moto;18/06/2022;21:58;18/06/2022;22:09;11;5
WWW1919;Moto;18/06/2022;21:58;18/06/2022;21:59;1;5
WWW1717;Moto;18/06/2022;21:43;18/06/2022;21:43;0;0
WWW1616;Carro;18/06/2022;21:42;18/06/2022;21:42;0;0
WWW1515;Carro;18/06/2022;21:37;18/06/2022;21:37;0;0
WWW1515;Carro;18/06/2022;21:27;18/06/2022;21:27;0;0
WWW1414;Caminhonete;18/06/2022;21:27;18/06/2022;21:27;0;0
WWW1313;Carro;18/06/2022;21:13;18/06/2022;21:13;0;0
